RAJ2000,DEJ2000,Jmag,Hmag,Kmag,Date
8.336431,85.166740,9.976,9.350,9.145,1999-10-19
8.339679,85.145668,16.210,15.465,15.372,1999-10-19
8.360038,85.139946,14.164,13.915,13.803,1999-10-19
8.381146,85.128799,16.557,16.117,15.472,1999-10-19
8.396966,85.172455,16.305,15.640,15.504,1999-10-19
8.415470,85.160362,16.315,15.418,15.345,1999-10-19
8.491861,85.164711,15.457,15.043,14.875,1999-10-19
8.447996,85.170288,15.126,14.366,14.240,1999-10-19
8.555694,85.131516,15.125,14.793,14.777,1999-10-19
8.530919,85.143456,15.575,14.856,14.646,1999-10-19
8.519424,85.156387,16.492,15.888,15.454,1999-10-19
8.532362,85.133736,14.593,14.061,14.039,1999-10-19
8.582032,85.157684,15.012,14.371,14.297,1999-10-19
8.626559,85.166809,15.299,14.916,15.066,1999-10-19
8.662574,85.144585,16.084,15.696,15.782,1999-10-19
8.632537,85.154846,15.752,15.301,14.963,1999-10-19
8.748643,85.133942,15.415,14.953,14.790,1999-10-19
8.740463,85.127159,16.432,15.742,15.791,1999-10-19
8.713242,85.149147,15.745,15.110,15.133,1999-10-19
8.696772,85.181931,12.729,12.136,12.044,1999-10-19
8.747049,85.145935,14.194,13.923,13.839,1999-10-19
8.731582,85.171120,16.078,15.562,15.290,1999-10-19
8.739172,85.183998,11.696,11.162,11.066,1999-10-19
8.800450,85.139992,16.656,15.944,15.791,1999-10-19
8.797565,85.175049,15.789,15.406,14.993,1999-10-19
8.908102,85.174858,15.262,14.534,14.500,1999-10-19
8.948407,85.175995,15.282,14.546,14.444,1999-10-19
8.984097,85.132202,16.350,15.907,15.347,1999-10-19
9.023236,85.140152,16.719,16.167,15.487,1999-10-19
9.060155,85.155098,13.077,12.454,12.359,1999-10-19
9.024819,85.161362,15.755,15.183,15.068,1999-10-19
9.091900,85.163940,16.466,15.880,15.616,1999-10-19
9.069471,85.163849,13.967,13.706,13.659,1999-10-19
9.093945,85.156586,16.657,15.809,15.299,1999-10-19
9.081182,85.181755,15.813,15.661,15.145,1999-10-19
9.143162,85.163681,16.628,15.807,15.483,1999-10-19
9.151538,85.140907,16.890,16.013,15.527,1999-10-19
9.159184,85.165054,16.514,15.773,15.789,1999-10-19
9.174212,85.131264,15.614,14.974,14.849,1999-10-19
9.212684,85.167435,14.575,14.205,14.254,1999-10-19
9.238758,85.141968,12.759,12.405,12.383,1999-10-19
9.277112,85.126244,9.932,9.340,9.218,1999-10-19
9.250801,85.142365,13.338,12.985,12.878,1999-10-19
9.294810,85.163345,16.009,15.448,15.198,1999-10-19
9.363729,85.174461,15.235,14.796,14.653,1999-10-19
9.399652,85.154099,16.637,17.441,15.292,1999-10-19
9.389896,85.129707,14.457,14.131,13.961,1999-10-19
9.467305,85.186157,16.838,15.865,15.326,1999-10-19
9.492581,85.125877,16.507,15.999,15.664,1999-10-19
